Date,Demand
18-06-17,19741
18-06-17,20027
18-06-17,20154
18-06-17,20000
18-06-17,19864
18-06-17,19956
18-06-17,19129
18-06-17,17813
18-06-17,16595
18-06-18,15572
18-06-18,15196
18-06-18,14618
18-06-18,14652
18-06-18,14925
18-06-18,16022
18-06-18,18202
18-06-18,19874
18-06-18,20718
18-06-18,21369
18-06-18,21281
18-06-18,20521
18-06-18,20805
18-06-18,20720
18-06-18,20817
18-06-18,20659
18-06-18,20743
18-06-18,20656
18-06-18,20502
18-06-18,20466
18-06-18,20142
18-06-18,18690
18-06-18,16925
18-06-18,15493
18-06-19,14438
18-06-19,13650
18-06-19,13140
18-06-19,13069
18-06-19,13303
18-06-19,14242
18-06-19,15768
18-06-19,16224
18-06-19,16199
18-06-19,16377
18-06-19,16613
18-06-19,16857
18-06-19,17105
18-06-19,17408
18-06-19,17813
18-06-19,18261
18-06-19,18457
18-06-19,18265
18-06-19,18016
18-06-19,17776
18-06-19,17626
18-06-19,16721
18-06-19,15229
18-06-19,14062
18-06-20,13307
18-06-20,12925
18-06-20,12630
18-06-20,12476
18-06-20,12837
18-06-20,13844
18-06-20,15183
18-06-20,15749
18-06-20,16087
18-06-20,16068
18-06-20,16110
18-06-20,16197
18-06-20,16504
18-06-20,16646
18-06-20,16851
18-06-20,17436
18-06-20,18024
18-06-20,18248
18-06-20,18317
18-06-20,17920
18-06-20,17673
18-06-20,16671
18-06-20,15299
18-06-20,14179
18-06-21,13367
18-06-21,12699
18-06-21,12449
18-06-21,12415
18-06-21,12626
18-06-21,13520
18-06-21,14847
18-06-21,15330
18-06-21,15437
18-06-21,15715
18-06-21,15917
18-06-21,15869
18-06-21,16037
18-06-21,16088
18-06-21,16324
18-06-21,16874
18-06-21,17300
18-06-21,17583
18-06-21,17613
18-06-21,17235
18-06-21,16822
18-06-21,15823
18-06-21,14410
18-06-21,13364
18-06-22,12607
18-06-22,12072
18-06-22,11884
18-06-22,11908
18-06-22,12147
18-06-22,13079
18-06-22,14383
18-06-22,14838
18-06-22,15073
18-06-22,15151
18-06-22,15217
18-06-22,15269
18-06-22,15548
18-06-22,15617
18-06-22,15719
18-06-22,15984
18-06-22,16145
18-06-22,16203
18-06-22,16052
18-06-22,15865
18-06-22,16035
18-06-22,15291
18-06-22,14150
18-06-22,13003
18-06-23,12482
18-06-23,12173
18-06-23,11923
18-06-23,11958
18-06-23,11930
18-06-23,12232
18-06-23,12903
18-06-23,13834
18-06-23,14583
18-06-23,15188
18-06-23,15361
18-06-23,15398
18-06-23,15350
18-06-23,15218
18-06-23,15163
18-06-23,15270
18-06-23,15526
18-06-23,15475
18-06-23,15195
18-06-23,15138
18-06-23,15245
18-06-23,14653
18-06-23,13666
18-06-23,12758
18-06-24,12231
18-06-24,11855
18-06-24,11631
18-06-24,11546
18-06-24,11489
18-06-24,11722
18-06-24,12214
18-06-24,12994
18-06-24,13744
18-06-24,14340
18-06-24,14665
18-06-24,14771
18-06-24,14812
18-06-24,14670
18-06-24,14710
18-06-24,14835
18-06-24,15093
18-06-24,15314
18-06-24,15302
18-06-24,15437
18-06-24,15478
18-06-24,14870
18-06-24,13737
18-06-24,12786
18-06-25,12168
18-06-25,11830
18-06-25,11675
18-06-25,11740
18-06-25,12071
18-06-25,12969
18-06-25,14338
18-06-25,14624
18-06-25,14709
18-06-25,14808
18-06-25,15010
18-06-25,15003
18-06-25,15179
18-06-25,15261
18-06-25,15479
18-06-25,16005
18-06-25,16664
18-06-25,17103
18-06-25,17426
18-06-25,17264
18-06-25,16761
18-06-25,15762
18-06-25,14360
18-06-25,13202
18-06-26,12606
18-06-26,12243
18-06-26,11955
18-06-26,11962
18-06-26,12269
18-06-26,13033
18-06-26,14328
18-06-26,14851
18-06-26,14951
18-06-26,15173
18-06-26,15339
18-06-26,15385
18-06-26,15602
18-06-26,15798
18-06-26,16080
18-06-26,16758
18-06-26,17285
18-06-26,17490
18-06-26,17310
18-06-26,17068
18-06-26,16775
18-06-26,15884
18-06-26,14499
18-06-26,13572
18-06-27,12875
18-06-27,12509
18-06-27,12356
18-06-27,12483
18-06-27,12813
18-06-27,13941
18-06-27,15118
18-06-27,15649
18-06-27,16275
18-06-27,16687
18-06-27,16920
18-06-27,16880
18-06-27,17022
18-06-27,17146
18-06-27,17170
18-06-27,17433
18-06-27,17714
18-06-27,17539
18-06-27,17511
18-06-27,17614
18-06-27,17630
18-06-27,16586
18-06-27,15292
18-06-27,14225
18-06-28,13415
18-06-28,13068
18-06-28,12900
18-06-28,12862
18-06-28,13289
18-06-28,14438
18-06-28,15830
18-06-28,16635
18-06-28,16962
18-06-28,17244
18-06-28,17731
18-06-28,17934
18-06-28,18395
18-06-28,18763
18-06-28,19178
18-06-28,19709
18-06-28,20142
18-06-28,20308
18-06-28,20659
18-06-28,20339
18-06-28,19805
18-06-28,18740
18-06-28,17140
18-06-28,15721
18-06-29,14746
18-06-29,14168
18-06-29,13732
18-06-29,13656
18-06-29,13862
18-06-29,14710
18-06-29,16248
18-06-29,17381
18-06-29,18350
18-06-29,18926
18-06-29,19451
18-06-29,19811
18-06-29,20191
18-06-29,20438
18-06-29,20565
18-06-29,20509
18-06-29,21158
18-06-29,21015
18-06-29,20826
18-06-29,20455
18-06-29,20123
18-06-29,19078
18-06-29,17624
18-06-29,16266
18-06-30,15307
18-06-30,14497
18-06-30,13998
18-06-30,13768
18-06-30,13657
18-06-30,13790
18-06-30,14418
18-06-30,15756
18-06-30,17142
18-06-30,18449
18-06-30,19290
18-06-30,19921
18-06-30,20491
18-06-30,20659
18-06-30,20641
18-06-30,20698
18-06-30,20874
18-06-30,20814
18-06-30,20731
18-06-30,20450
18-06-30,20542
18-06-30,19611
18-06-30,18535
18-06-30,17270
18-07-01,16500
18-07-01,15713
18-07-01,15113
18-07-01,14648
18-07-01,14476
18-07-01,14497
18-07-01,15381
18-07-01,16696
18-07-01,17776
18-07-01,18816
18-07-01,19609
18-07-01,19862
18-07-01,19926
18-07-01,19997
18-07-01,19959
18-07-01,20335
18-07-01,20632
18-07-01,20739
18-07-01,20792
18-07-01,20301
18-07-01,19841
18-07-01,19072
18-07-01,18238
18-07-01,16997
18-07-02,16205
18-07-02,15484
18-07-02,15050
18-07-02,14810
18-07-02,14705
18-07-02,14891
18-07-02,16009
18-07-02,17160
18-07-02,18278
18-07-02,19328
18-07-02,20104
18-07-02,20599
18-07-02,20575
18-07-02,20481
18-07-02,20286
18-07-02,20150
18-07-02,21012
18-07-02,20880
18-07-02,20960
18-07-02,20530
18-07-02,20099
18-07-02,19161
18-07-02,17540
18-07-02,16117
18-07-03,15289
18-07-03,14447
18-07-03,14015
18-07-03,13873
18-07-03,14027
18-07-03,14786
18-07-03,16451
18-07-03,17669
18-07-03,18509
18-07-03,19314
18-07-03,19825
18-07-03,20085
18-07-03,20195
18-07-03,20361
18-07-03,20913
18-07-03,21124
18-07-03,21493
18-07-03,21736
18-07-03,21761
18-07-03,21380
18-07-03,20714
18-07-03,19803
18-07-03,18188
18-07-03,16559
18-07-04,15375
18-07-04,14697
18-07-04,14256
18-07-04,14060
18-07-04,14305
18-07-04,15128
18-07-04,16837
18-07-04,18158
18-07-04,19158
18-07-04,19915
18-07-04,20500
18-07-04,20767
18-07-04,21049
18-07-04,21279
18-07-04,21646
18-07-04,22090
18-07-04,22459
18-07-04,22506
18-07-04,22518
18-07-04,22081
18-07-04,21671
18-07-04,20745
18-07-04,19295
18-07-04,17738
18-07-05,16542
18-07-05,15770
18-07-05,15311
18-07-05,15203
18-07-05,15486
18-07-05,16315
18-07-05,18142
18-07-05,19653
18-07-05,21026
18-07-05,21781
18-07-05,22158
18-07-05,22446
18-07-05,22631
18-07-05,22805
18-07-05,22872
18-07-05,23046
18-07-05,22177
18-07-05,21562
18-07-05,21594
18-07-05,21813
18-07-05,21220
18-07-05,20028
18-07-05,18478
18-07-05,16957
18-07-06,15766
18-07-06,14541
18-07-06,13957
18-07-06,13697
18-07-06,13859
18-07-06,14472
18-07-06,15836
18-07-06,16451
18-07-06,16388
18-07-06,16486
18-07-06,16515
18-07-06,16472
18-07-06,16374
18-07-06,16520
18-07-06,16674
18-07-06,16917
18-07-06,17299
18-07-06,17401
18-07-06,17413
18-07-06,17008
18-07-06,16482
18-07-06,15520
18-07-06,14282
18-07-06,13339
18-07-07,12627
18-07-07,12064
18-07-07,11855
18-07-07,11624
18-07-07,11581
18-07-07,11702
18-07-07,12380
18-07-07,13305
18-07-07,13985
18-07-07,14405
18-07-07,14714
18-07-07,14932
18-07-07,14970
18-07-07,15108
18-07-07,15325
18-07-07,15982
18-07-07,16682
18-07-07,17189
18-07-07,17222
18-07-07,16893
18-07-07,16386
18-07-07,15578
18-07-07,14504
18-07-07,13524
18-07-08,12733
18-07-08,12151
18-07-08,11823
18-07-08,11613
18-07-08,11535
18-07-08,11413
18-07-08,12083
18-07-08,13026
18-07-08,13837
18-07-08,14462
18-07-08,15059
18-07-08,15585
18-07-08,16026
18-07-08,16324
18-07-08,16940
18-07-08,17633
18-07-08,18489
18-07-08,18988
18-07-08,19067
18-07-08,18762
18-07-08,18172
18-07-08,17176
18-07-08,15849
18-07-08,14755
18-07-09,13783
18-07-09,13182
18-07-09,12853
18-07-09,12701
18-07-09,12922
18-07-09,13658
18-07-09,15239
18-07-09,16604
18-07-09,17433
18-07-09,18152
18-07-09,18682
18-07-09,19150
18-07-09,19715
18-07-09,20172
18-07-09,20446
18-07-09,20783
18-07-09,21153
18-07-09,21412
18-07-09,21011
18-07-09,20767
18-07-09,20679
18-07-09,19699
18-07-09,17734
18-07-09,16434
18-07-10,15474
18-07-10,14825
18-07-10,14498
18-07-10,14336
18-07-10,14611
18-07-10,15414
18-07-10,16809
18-07-10,17777
18-07-10,18600
18-07-10,19265
18-07-10,19593
18-07-10,20042
18-07-10,20110
18-07-10,20378
18-07-10,20682
18-07-10,21077
18-07-10,20880
18-07-10,20762
18-07-10,20364
18-07-10,19813
18-07-10,19332
18-07-10,18035
18-07-10,16434
18-07-10,15105
18-07-11,14275
18-07-11,13738
18-07-11,13539
18-07-11,13280
18-07-11,13451
18-07-11,14199
18-07-11,15512
18-07-11,16448
18-07-11,17064
18-07-11,17411
18-07-11,17672
18-07-11,17915
18-07-11,18103
18-07-11,18569
18-07-11,18998
18-07-11,19287
18-07-11,19950
18-07-11,20264
18-07-11,20199
18-07-11,19606
18-07-11,18991
18-07-11,17692
18-07-11,15997
18-07-11,14660
18-07-12,13894
18-07-12,13356
18-07-12,12961
18-07-12,12731
18-07-12,13021
18-07-12,13751
18-07-12,15096
18-07-12,16225
18-07-12,16910
18-07-12,17359
18-07-12,17871
18-07-12,18355
18-07-12,18793
18-07-12,19119
18-07-12,19591
18-07-12,20362
18-07-12,20910
18-07-12,20746
18-07-12,20298
18-07-12,20028
18-07-12,19772
18-07-12,18268
18-07-12,16727
18-07-12,15618
18-07-13,14677
18-07-13,14187
18-07-13,13854
18-07-13,13618
18-07-13,14006
18-07-13,14796
18-07-13,16198
18-07-13,17573
18-07-13,18604
